# 9910 Host approach IDs; existing assignments preserved.
# Stop-line restoration 2026-09-11; source and map audit beside the map backup.
# lanelet2_sha256=22a20bc7cc06fc93017c4445bb275f635e52d7fd08d6163c21e8157a2a1d8eae
hlvtd_id,autoware_group_id
1,462951
1,462953
1,462955
3,462945
4,462965
4,462967
4,462969
5,462957
5,462959
5,462961
5,462963
7,463117
7,463119
7,463121
7,463123
9,463155
9,463157
9,463159
11,463107
11,463109
11,463111
11,463113
11,463115
15,463093
15,463095
15,463097
15,463099
17,463101
17,463103
19,463083
19,463085
19,463087
19,463089
19,463091
21,463041
21,463043
23,463007
23,463009
23,463011
23,463013
23,463015
25,463127
25,463129
27,463125
29,463031
29,463033
30,462997
30,462999
30,463001
30,463003
30,465816
32,463237
32,463239
32,463241
34,463131
34,463133
34,463135
34,463137
34,463139
36,462989
36,462991
36,462993
36,462995
38,463141
38,463143
38,463145
39,463017
39,463019
41,462981
41,462983
41,462985
41,462987
43,463147
43,463149
45,463603
45,463605
45,463607
45,463609
47,463245
48,463253
48,463255
49,463261
49,463263
51,463265
51,463267
53,463269
53,463271
55,463281
55,463283
57,465820
57,465824
58,463285
58,463287
59,463289
59,463291
61,463303
64,463309
64,463311
66,463319
66,463321
68,463323
68,463325
68,463327
68,465828
70,465832
70,465836
71,463339
71,463341
72,463357
72,463359
72,465840
72,465844
73,463315
73,463317
74,463379
74,463381
74,463383
74,463385
74,463387
76,463347
76,463349
76,463351
76,463353
76,463355
78,463361
78,463363
78,463365
78,463367
78,463369
80,463437
80,463439
80,463441
80,463443
82,463421
82,463423
84,463405
84,463407
84,463409
84,463411
84,463413
86,463445
86,463447
88,463429
88,463431
88,463433
89,463389
89,463391
89,463393
90,463415
90,463417
90,463419
91,463465
91,463467
91,463469
91,463471
92,463473
92,463475
94,463371
94,463373
94,463375
94,463377
96,463531
96,463533
98,463449
98,463451
98,463453
100,463515
100,463517
102,463519
102,463521
102,463523
104,463495
105,463483
105,463485
106,463491
106,463493
107,463541
107,463543
108,463545
109,463551
109,463553
110,463571
110,463573
112,463525
112,463527
112,463529
114,463547
114,463549
117,463559
117,463561
117,463563
118,463575
119,463577
120,463587
120,463589
121,463579
121,463581
122,463583
122,463585
123,463591
124,465848
124,465852
125,463615
125,463617
126,463721
126,463723
126,463725
128,463619
128,463621
128,463623
128,463625
130,463709
130,463711
130,463713
132,463735
132,463737
132,463739
132,463741
134,463749
134,463751
134,465856
135,463715
135,463717
135,463719
136,463035
137,463021
139,463023
139,463025
141,463753
141,463755
141,463757
143,463027
143,463029
145,463743
145,463745
145,463747
147,463163
147,463165
149,463901
149,463903
149,463905
150,463917
150,463919
150,463921
151,465860
151,465864
152,463923
152,463925
152,463927
153,463959
155,463929
155,463931
155,463933
157,463939
157,463941
159,463951
159,463953
159,463955
161,465868
161,465872
162,463897
162,463899
163,463893
163,463895
165,463883
165,463885
167,463871
167,463873
169,463889
169,463891
171,463975
171,463977
173,463819
173,463821
175,463807
175,463809
177,463837
177,463839
179,463803
179,463805
181,463727
181,463729
181,463731
181,463733
183,463699
183,463701
185,463765
185,463767
185,463769
185,463771
187,463793
187,463795
187,463797
187,463799
187,463801
189,463773
189,463775
189,463777
189,463779
191,463661
191,463663
191,463665
191,463667
191,463669
193,463671
193,463673
193,463675
193,463677
193,463679
194,463631
194,463633
196,463455
196,463457
196,463459
196,463461
196,463463
198,463639
198,463641
200,463647
200,463649
202,463555
202,463557
204,463627
204,463629
211,463685
211,463687
212,463635
212,463637
213,463695
213,463697
214,463681
214,463683
215,463847
215,463849
215,463851
215,463853
216,463785
216,463787
216,463789
216,463791
217,463961
217,463963
217,463965
217,463967
219,463943
219,463945
219,463947
219,463949
221,463989
221,463991
223,463983
223,463985
223,463987
225,463277
225,463279
226,465876
227,463329
227,463331
227,463333
227,463335
227,463337
312,463039
